0.3477,0.0747,2716.0963,1455.9,,,average,errorbar,errorbar,std
0.3245,0.1137,2300.2808,1168.6,,delivery_prob,0.332147,0.360774223,0.303519777,0.028627223
0.2917,0.3489,2197.5518,948,,overhead,1.675545,10.38407259,-7.032982588,8.708527588
0.3149,0.2321,2730.9128,1294.8,,hopcount_avg,2734.767276,3016.133456,2453.401096,281.3661795
0.3101,0.1608,2577.672,1215.8,,hopcount_med,1388.788,1589.584378,1187.991622,200.7963777
0.3395,2.4085,2250.0628,1095.7,,,,,,
0.3292,0.4606,2716.66,1323.2,,,,,,
0.278,0.4939,3379.9627,1833.6,,,,,,
0.3087,0.2765,3089.6843,1497.9,,,,,,
0.3094,0.223,2560.9664,1368.1,,,,,,
0.3559,0.1881,2513.4107,1177.1,,,,,,
0.3429,0.2092,2597.3612,1242.6,,,,,,
0.3839,0.1886,2573.2482,1256.3,,,,,,
0.3067,0.1492,2523.6385,1216.5,,,,,,
0.3183,0.5644,2719.9803,1391.8,,,,,,
0.3641,0.1782,2382.1966,1096.3,,,,,,
0.3101,8.5286,3143.6485,1715.5,,,,,,
0.3122,0.2888,2712.2814,1224.5,,,,,,
0.3074,0.0489,3044.3356,1362.6,,,,,,
0.304,0.3798,2877.9712,1598.7,,,,,,
0.3702,0.7269,2856.4258,1534.9,,,,,,
0.306,0.2946,2835.4696,1532.5,,,,,,
0.3135,0.7211,2488.1124,1036.3,,,,,,
0.2951,0.2986,3021.9056,1456.1,,,,,,
0.3928,0.0957,2745.9757,1493.6,,,,,,
0.3723,0.4165,2855.4818,1605.9,,,,,,
0.3504,0.0819,3025.4123,1493.7,,,,,,
0.3251,1.4517,2730.2788,1335.3,,,,,,
0.2896,0.2217,2699.4847,1311.1,,,,,,
0.347,0.5197,2307.2268,1179.4,,,,,,
0.3846,0.2664,3279.7144,1763.7,,,,,,
0.3367,0.3022,2656.8114,1393.9,,,,,,
0.3388,0.2984,2353.4556,1334.9,,,,,,
0.2964,0.1452,3256.7624,1881,,,,,,
0.3538,0.1139,2537.6305,1369.3,,,,,,
0.2937,0.2628,2668.244,1132.1,,,,,,
0.2923,0.2196,2346.0173,1066.6,,,,,,
0.3832,0.4207,2437.7594,1235.2,,,,,,
0.3477,2.1866,2662.1145,1346,,,,,,
0.319,0.2848,3137.964,1452.2,,,,,,
0.3648,0.5094,2511.7657,1313,,,,,,
0.3552,0.3096,2646.5658,1318.7,,,,,,
0.3327,0.8337,2660.7649,1305.4,,,,,,
0.3497,0.6602,2622.89,1291.4,,,,,,
0.3374,0.1619,3110.8269,1759.3,,,,,,
0.3545,0.6532,2511.0805,1348.8,,,,,,
0.375,0.776,2549.5849,1236.2,,,,,,
0.3449,0.2,2517.1073,1153.1,,,,,,
0.278,0.5086,3383.7781,1553.1,,,,,,
0.2616,0.4465,2465.2295,1103.5,,,,,,
0.3224,0.2352,2486.4924,1277.6,,,,,,
0.3163,0.4017,2818.6274,1140.3,,,,,,
0.304,0.2674,2871.0719,1489.8,,,,,,
0.3395,0.1006,2218.3998,1174.8,,,,,,
0.3791,0.564,2645.5362,1295.4,,,,,,
0.3518,0.6078,2444.92,1164.1,,,,,,
0.304,0.4517,2799.5807,1562.3,,,,,,
0.3333,0.1885,3196.7484,1530.9,,,,,,
0.2773,79.2685,2443.1022,1267.1,,,,,,
0.362,0.2604,2800.1283,1474.9,,,,,,
0.3142,0.2196,2942.0815,1373.5,,,,,,
0.3484,0.1686,2301.4257,1208.8,,,,,,
0.3504,0.4951,2558.0037,1263.2,,,,,,
0.3272,0.261,2759.676,1432.3,,,,,,
0.3907,0.2115,2807.2554,1434.6,,,,,,
0.3538,0.1293,2355.2118,1325.5,,,,,,
0.3531,36.9458,2466.2455,1287.8,,,,,,
0.3559,0.357,2828.4296,1485.2,,,,,,
0.3456,0.0731,3010.6615,1485,,,,,,
0.3327,0.4682,3031.3183,1551,,,,,,
0.3449,0.1881,2703.12,1312.7,,,,,,
0.2937,0.4093,2416.3158,1167.3,,,,,,
0.3327,0.078,2725.4503,1411.2,,,,,,
0.3333,0.2295,3036.6508,1816.1,,,,,,
0.3012,0.0794,2400.7465,1137.5,,,,,,
0.3163,0.2073,2875.0287,1478.9,,,,,,
0.347,0.4311,3200.0104,1900.4,,,,,,
0.3135,0.0893,2959.6146,1572.8,,,,,,
0.3402,0.2329,2966.5359,1683.1,,,,,,
0.3552,0.275,3176.3821,1636.6,,,,,,
0.3149,0.3232,2949.8208,1604,,,,,,
0.3046,0.8206,3155.7684,1579.7,,,,,,
0.3675,0.2119,2274.4414,1158.3,,,,,,
0.3135,0.5948,3124.0908,1632.5,,,,,,
0.3286,0.1268,2689.7148,1533,,,,,,
0.3128,0.2838,2682.2841,1253.1,,,,,,
0.3531,0.4507,2684.7135,1316.7,,,,,,
0.3238,0.3418,2866.7127,1366.5,,,,,,
0.3511,0.9202,2862.2101,1561.1,,,,,,
0.3531,1.1954,2590.2292,1299.1,,,,,,
0.3204,0.1578,2480.3599,1274.4,,,,,,
0.3279,0.2146,2902.1235,1435.4,,,,,,
0.3477,0.3418,2555.3214,1341.8,,,,,,
0.3777,0.3183,2964.1369,1601.3,,,,,,
0.3026,0.1896,3382.2892,1938.2,,,,,,
0.2842,0.2212,2744.563,1423.8,,,,,,
0.3566,6.3812,2704.3655,1334.3,,,,,,
0.2958,0.3926,2611.3965,1277.9,,,,,,
0.3443,0.1627,2730.6454,1317.8,,,,,,
0.3736,0.106,2787.0064,1469.5,,,,,,
